yr,rgCode,rgDesc,rtCode,rtTitle,ptCode,ptTitle,cmdCode,cmdDescE,TradeValue
2011,1,Import,28,Antigua and Barbuda,328,Guyana,72,Iron and steel,900
2010,2,Export,842,USA,702,Singapore,24,Tobacco and manufactured tobacco substitutes,1350044
1992,2,Export,792,Turkey,826,United Kingdom,15,"Animal,vegetable fats and oils, cleavage products, et",4484197
1998,1,Import,780,Trinidad and Tobago,340,Honduras,15,"Animal,vegetable fats and oils, cleavage products, et",7996
1997,1,Import,528,Netherlands,12,Algeria,08,"Edible fruit, nuts, peel of citrus fruit, melons",33849
2015,2,Export,410,Rep. of Korea,417,Kyrgyzstan,17,Sugars and sugar confectionery,13049
1998,1,Import,428,Latvia,784,United Arab Emirates,51,"Wool, animal hair, horsehair yarn and fabric thereof",1758
2015,1,Import,410,Rep. of Korea,710,South Africa,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",27830
2013,1,Import,616,Poland,528,Netherlands,29,Organic chemicals,379843748
2006,1,Import,528,Netherlands,516,Namibia,07,Edible vegetables and certain roots and tubers,930917
2007,2,Export,586,Pakistan,710,South Africa,80,Tin and articles thereof,1319
1996,1,Import,528,Netherlands,566,Nigeria,12,"Oil seed, oleagic fruits, grain, seed, fruit, etc, nes",8636761
2019,1,Import,72,Botswana,834,United Rep. of Tanzania,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",207261
2013,1,Import,268,Georgia,703,Slovakia,99,Commodities not specified according to kind,136308
1990,2,Export,724,Spain,410,Rep. of Korea,96,Miscellaneous manufactured articles,107158
2011,2,Export,156,China,694,Sierra Leone,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",7094747
2016,1,Import,76,Brazil,440,Lithuania,73,Iron or steel articles,3381449
2013,2,Export,203,Czechia,222,El Salvador,93,Arms and ammunition; parts and accessories thereof,60270
2018,1,Import,975,ASEAN,703,Slovakia,97,Works of art; collectors' pieces and antiques,873
2005,2,Export,32,Argentina,854,Burkina Faso,04,Dairy produce; birds eggs; natural honey;,447785
2018,2,Export,36,Australia,124,Canada,76,Aluminium and articles thereof,7652267
2007,2,Export,28,Antigua and Barbuda,0,World,30,Pharmaceutical products,152100
2003,1,Import,156,China,490,"Other Asia, nes",36,Explosives; pyrotechnic products; matches,41946
2008,1,Import,894,Zambia,251,France,99,Commodities not specified according to kind,20531
1999,2,Export,36,Australia,388,Jamaica,64,"Footwear, gaiters and the like, parts thereof",580
2016,1,Import,642,Romania,458,Malaysia,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",18644
