yr,rgCode,rtCode,ptCode,cmdCode,TradeValue
2009,1,258,554,75,157
2018,1,699,422,52,1413
2001,2,705,251,85,55129962
2006,2,97,516,49,1195541
2003,2,360,642,74,1450
2018,1,276,348,34,100465925
2009,1,410,554,20,6211068
2011,1,251,699,36,2093706
2009,2,442,300,85,2947242
2004,1,508,899,85,422210
2012,1,398,705,52,2400
2017,2,360,0,33,716230046
2014,2,780,328,69,134988
2016,2,757,818,20,85781
2013,1,562,699,38,13110
2018,1,643,56,58,577791
1996,2,620,600,83,4128
2017,2,242,591,73,2511
2016,2,842,212,89,49612
2016,2,372,288,85,65998
1998,1,711,392,83,2563648
2014,1,834,68,85,3407
2001,2,156,670,63,10000
2015,1,788,643,44,4482537
2014,2,699,368,07,5682975
2001,2,858,699,51,1128824
2009,2,422,642,70,239
2013,2,490,144,38,3330509
2006,1,233,834,82,57
2011,2,344,251,55,146479
2007,1,768,288,17,270516
2000,2,404,0,32,6796654
1997,1,818,100,07,37690
2005,2,504,36,97,1972
2012,2,56,842,20,40157686
2007,2,604,348,13,480
2010,2,458,634,99,20230555
2008,1,434,792,03,51948
2001,2,376,348,55,88000
2008,2,320,604,29,47664
2013,1,404,682,97,45
2015,2,764,381,07,315997
1990,1,554,862,32,60464
2019,2,699,834,68,1763826
2012,2,620,324,90,58673
2007,2,484,899,04,20872
2018,2,4,860,25,5338
2018,1,442,642,96,7243
2005,1,340,36,29,25
1990,2,144,392,30,264991
2005,2,646,180,19,9821
2016,1,604,604,71,143103
2013,2,251,178,58,126631
1996,1,191,372,50,825
2013,1,231,222,87,472
1991,2,757,50,33,393219
2015,1,764,699,81,621534
2001,2,56,724,32,110843630
2009,1,251,458,90,59172762
1995,2,251,60,88,48383948
2012,1,724,344,60,13014
2008,1,44,76,87,3628
2013,2,764,540,43,263
2002,1,40,428,62,2101239
2013,2,124,376,55,40280
2006,2,40,579,11,504457
2005,2,300,426,87,9929
2007,2,208,258,15,39965
2001,1,120,792,27,98262
2011,2,458,192,94,4444
2000,2,76,68,72,26129021
2016,1,842,332,01,146855
2019,2,76,372,90,682273
2014,2,246,752,17,17950717
2006,1,188,56,07,57127
2008,2,251,12,95,4417973
2001,1,598,608,15,18
2012,1,764,418,59,3525
1996,1,699,705,41,9952
2009,2,704,400,96,70908
2018,2,620,100,72,23297
2010,1,31,579,61,1136
2005,1,100,705,86,24468
2004,1,381,268,87,9950
2013,1,84,124,60,1067
2007,2,579,642,81,3554
2012,1,724,818,74,4465
2019,1,792,348,72,1278863
1995,1,276,191,74,2328000
2015,3,842,70,85,350739
1998,2,300,887,87,42751
2010,1,410,178,39,230
2001,2,558,124,94,11810
1997,2,579,752,90,35344612
2014,2,752,426,39,585
2014,2,428,643,06,26456167
1995,1,682,484,87,1242760
2011,2,616,188,48,12373
2004,1,50,180,23,31734
2005,2,842,76,56,20674166
2007,2,752,583,89,23731
2006,1,90,528,73,405
2000,2,490,116,38,1786291
2004,1,724,270,71,346
1999,1,784,792,37,20545
2006,1,724,533,95,2447
1994,1,381,598,41,42562
2017,1,504,56,73,11495132
1991,2,757,686,32,704314
2012,2,740,842,93,63
2015,1,384,710,36,34339
2009,2,682,736,11,130412
2019,2,586,626,63,74876
1996,2,208,807,96,18624
2013,2,705,40,06,619063
2002,1,842,470,68,147907
2000,2,686,562,94,3402
2003,3,842,28,33,232131
2009,1,484,528,16,4129
2000,2,97,64,84,4078551
2010,1,156,276,81,70146425
2011,1,699,8,27,87485545
2015,1,462,422,22,70092
2019,1,203,579,90,2223952
2019,1,300,616,43,359120
2015,1,634,504,94,189773
1996,2,764,524,17,8897
2003,2,251,178,72,1513300
1991,1,764,392,49,9120975
2019,2,178,140,44,2357
2000,2,360,686,38,141729
2013,2,97,842,14,2436730
2009,1,392,418,99,333221
2013,1,800,408,40,41
2016,1,842,772,39,58307
1992,2,144,620,08,3022854
2001,2,458,887,15,13095927
2006,1,458,554,85,4869407
2010,1,764,418,96,12098
2010,2,643,887,33,1363
2011,2,858,76,44,2280664
2012,1,528,203,58,566837
2004,1,251,899,65,6220
2016,2,784,276,28,18102
2010,3,842,381,97,58498778
1989,2,124,434,90,222648
2010,2,344,288,38,776864
2000,1,826,470,65,938213
2004,1,97,398,24,353467
2009,1,372,0,29,2881093670
1997,2,196,826,74,758052
2000,1,462,360,80,1009
2005,1,496,804,27,54088
2013,2,616,440,45,273256
1991,1,512,528,52,207956
2007,1,600,32,81,14732
2001,3,842,340,05,83025
2014,1,48,458,27,33168
2000,1,276,620,85,1181881000
1998,2,422,711,33,2879
2000,1,662,208,90,6593
2011,1,620,484,40,633943
1996,2,724,203,06,175362
2014,1,400,300,65,2017
